UUID,Pinyin,Character,New Filename
sapi5-a894d8ee-675c4d3a-7f9ff438-cfd70699-bf57b261.mp3,zhǒng,种,zhǒng_种.mp3
sapi5-a5e9bc4a-a267f274-388b8223-3195c4b0-156735e5.mp3,shì,事,shì_事.mp3
sapi5-a4f86a13-4dadbd04-96cc27ba-03cf0eea-088842b6.mp3,chéng,成,chéng_成.mp3
sapi5-c3306524-150e2c2f-187c4e93-53653270-09740461.mp3,fāng,方,fāng_方.mp3
sapi5-004c0f52-8081c3a4-fc30fc42-314d1d95-f3b99fda.mp3,duō,多,duō_多.mp3
sapi5-bde7cf58-bafb0750-37e0fcdf-2d6bb151-4fe194bd.mp3,jīng,经,jīng_经.mp3
sapi5-9b7d5fda-81198669-90b71451-dacc14d8-2511cf6f.mp3,yāo,么,yāo_么.mp3
sapi5-4aa5f9f6-2e638958-b21bd665-8a1883c0-67f58faa.mp3,qù,去,qù_去.mp3
sapi5-f53079fc-8c86f620-1a5c7e09-2508e9bc-7e159439.mp3,fǎ,法,fǎ_法.mp3
sapi5-8c71d9c3-71278f7f-bf3e700a-b1f71c0f-5b06cd74.mp3,xué,学,xué_学.mp3
sapi5-d58fea8e-09493722-24fbd1ce-d2030a99-625ac608.mp3,rú,如,rú_如.mp3
sapi5-4967b39c-682b24ee-3de06e89-55e47b02-3c489ba9.mp3,dū,都,dū_都.mp3
sapi5-50a6d917-0cc1fef7-14b17f57-9595eee3-a5e35d58.mp3,tóng,同,tóng_同.mp3
sapi5-d205dae4-6ce3e978-12329759-86c2d731-697cd99b.mp3,xiàn,现,xiàn_现.mp3
sapi5-c9d613f2-b40acacc-9200db59-5cfeb3d0-68d3c8cd.mp3,dāng,当,dāng_当.mp3
sapi5-257e6830-f976e88d-55a599e0-2f0462b9-80efe092.mp3,méi,没,méi_没.mp3
sapi5-eca2395c-0aef191a-34beb80f-691b3628-af049733.mp3,dòng,动,dòng_动.mp3
sapi5-f45232dc-fa90cfd4-317b14b5-50d1167c-770bb53d.mp3,miàn,面,miàn_面.mp3
sapi5-85fb05e5-cb5f333f-c1f5af92-5689d4d6-0222b33f.mp3,qǐ,起,qǐ_起.mp3
sapi5-900b40bf-d2995c58-924055a4-87969057-3f81b766.mp3,kàn,看,kàn_看.mp3
sapi5-2be7681b-4d984c23-3e36559c-4d07e266-bdef13cc.mp3,dìng,定,dìng_定.mp3
sapi5-cd54902b-d672f268-59fdc481-94b8ad6f-bd8654a8.mp3,tiān,天,tiān_天.mp3
sapi5-93e76463-f985120e-8b79bfdc-01a451fc-71b8f88d.mp3,fēn,分,fēn_分.mp3
sapi5-3677d9dc-d189eae6-af98a9db-7ead44af-90e7e9e4.mp3,huán,还,huán_还.mp3
sapi5-042a17bc-53e95c59-80c8244f-b7960da5-6026409e.mp3,jìn,进,jìn_进.mp3
sapi5-3951137f-0c59a567-f0daf6a6-84ca4249-7eaaf4b1.mp3,hǎo,好,hǎo_好.mp3
sapi5-b98146c5-155d3902-8c400bce-c2932b34-6c87b0d6.mp3,xiǎo,小,xiǎo_小.mp3
sapi5-e676241a-ad95b675-4089f235-a2168674-c0398821.mp3,bù,部,bù_部.mp3
sapi5-be199b62-aded7acf-3e663345-82047bf3-4e70fe4b.mp3,qí,其,qí_其.mp3
sapi5-dcab8c5e-2a41547b-ada9c4e1-080d8a7c-64ab2d03.mp3,xiē,些,xiē_些.mp3
sapi5-3037afda-a773bde5-3304f44f-9528ee35-d3ac2b0b.mp3,zhǔ,主,zhǔ_主.mp3
sapi5-617bdb70-6bdb2c5e-2a8c65e7-292c6205-97e47602.mp3,yáng,样,yáng_样.mp3
sapi5-1079d4b8-ba7c5267-1aebf2eb-5d11b017-913208d7.mp3,lǐ,理,lǐ_理.mp3
sapi5-0deac8d9-2c4d67b5-93cb923e-5abb79be-e53a7963.mp3,xīn,心,xīn_心.mp3
sapi5-aea4fea2-18bde0ed-aa465319-61a16674-bd37f361.mp3,tā,她,tā_她.mp3
sapi5-7c95895d-ba56363e-fe6922ae-5ef63913-a634ae89.mp3,běn,本,běn_本.mp3
sapi5-60bb07e0-53394b2e-42b6c5f7-5d0ab7ed-4e0e7dc8.mp3,qián,前,qián_前.mp3
sapi5-93df75c6-876f1766-b2b8664d-e7e8e005-6b15b422.mp3,kāi,开,kāi_开.mp3
sapi5-19cf988a-d834b242-69382343-073c0983-230c47ac.mp3,dàn,但,dàn_但.mp3
sapi5-6864e114-ac0d2000-d5254b92-5a27149e-ea22a5fa.mp3,yīn,因,yīn_因.mp3
sapi5-ce0b9d7c-30eee033-7decdc0c-bba11bea-481c5043.mp3,zhǐ,只,zhǐ_只.mp3
sapi5-fc61a1a3-df89f004-8c811243-35b71c05-2f7e7821.mp3,cóng,从,cóng_从.mp3
sapi5-679ec002-bc87441f-b52ad6ef-fef7704c-72244a8e.mp3,xiǎng,想,xiǎng_想.mp3
sapi5-da31dc7c-f2706a73-8652cb40-d46d9157-b962e53a.mp3,shí,实,shí_实.mp3
sapi5-3ba905cc-986939ea-1b89c027-1e68914c-599a2f41.mp3,rì,日,rì_日.mp3
sapi5-0cdf495e-a86c77d6-85404c88-96fe0e50-559f1efd.mp3,jūn,军,jūn_军.mp3
sapi5-3404d2a7-afb3dab0-16bfc52b-b88bd209-bee30f40.mp3,zhě,者,zhě_者.mp3
sapi5-719dd88c-aed33e2c-392233e1-c2c83cc0-40c4649c.mp3,yì,意,yì_意.mp3
sapi5-6e3265f3-c77cfa16-1ada1ab1-a9ca99dd-614301c3.mp3,wú,无,wú_无.mp3
